date,equity,drawdown,drawdown_pct,daily_return
2025-03-10 22:30:00,50.0,0.0,0.0,
2025-03-10 22:45:00,50.0,0.0,0.0,0.0
2025-03-10 23:00:00,50.0,0.0,0.0,0.0
2025-03-10 23:15:00,50.0,0.0,0.0,0.0
2025-03-10 23:30:00,50.0,0.0,0.0,0.0
2025-03-10 23:45:00,50.0,0.0,0.0,0.0
2025-03-11 00:00:00,50.0,0.0,0.0,0.0
2025-03-11 00:15:00,49.98571428571428,0.014285714285719564,0.028571428571439128,-0.00028571428571444457
2025-03-11 00:30:00,46.97161225136696,3.028387748633037,6.056775497266074,-0.06029926904953198
2025-03-11 00:45:00,49.98571428571428,0.014285714285719564,0.028571428571439128,0.06416858800199265
2025-03-11 01:00:00,46.97161225136696,3.028387748633037,6.056775497266074,-0.06029926904953198
2025-03-11 01:15:00,49.98571428571428,0.014285714285719564,0.028571428571439128,0.06416858800199265
2025-03-11 01:30:00,49.98571428571428,0.014285714285719564,0.028571428571439128,0.0
2025-03-11 01:45:00,46.97161225136696,3.028387748633037,6.056775497266074,-0.06029926904953198
2025-03-11 02:00:00,64.81023260705027,0.0,0.0,0.3797744957149978
2025-03-11 02:15:00,83.99792287958903,0.0,0.0,0.29605958041958114
2025-03-11 02:30:00,108.90961543968746,0.0,0.0,0.2965751021701968
2025-03-11 02:45:00,108.90961543968746,0.0,0.0,0.0
2025-03-11 03:00:00,102.28628391450634,6.623331525181115,6.081493813417254,-0.06081493813417249
2025-03-11 03:15:00,108.90961543968746,0.0,0.0,0.06475288055940198
2025-03-11 03:30:00,102.28628391450634,6.623331525181115,6.081493813417254,-0.06081493813417249
2025-03-11 03:45:00,108.94071089285725,0.0,0.0,0.06505688469348314
2025-03-11 04:00:00,108.94071089285725,0.0,0.0,0.0
2025-03-11 04:15:00,108.94071089285725,0.0,0.0,0.0
2025-03-11 04:30:00,108.94071089285725,0.0,0.0,0.0
2025-03-11 04:45:00,108.94071089285725,0.0,0.0,0.0
2025-03-11 05:00:00,102.28628391450634,6.654426978350912,6.108301408915455,-0.06108301408915451
2025-03-11 05:15:00,141.1533504904192,0.0,0.0,0.3799831716283584
2025-03-11 05:30:00,132.6019468016332,8.551403688785996,6.058236420938816,-0.06058236420938812
2025-03-11 05:45:00,132.6019468016332,8.551403688785996,6.058236420938816,0.0
2025-03-11 06:00:00,132.6019468016332,8.551403688785996,6.058236420938816,0.0
2025-03-11 06:15:00,132.6019468016332,8.551403688785996,6.058236420938816,0.0
2025-03-11 06:30:00,132.6019468016332,8.551403688785996,6.058236420938816,0.0
2025-03-11 06:45:00,132.6019468016332,8.551403688785996,6.058236420938816,0.0
2025-03-11 07:00:00,141.1533504904192,0.0,0.0,0.06448927708111651
2025-03-11 07:15:00,141.1533504904192,0.0,0.0,0.0
2025-03-11 07:30:00,132.6019468016332,8.551403688785996,6.058236420938816,-0.06058236420938812
2025-03-11 07:45:00,141.1533504904192,0.0,0.0,0.06448927708111651
2025-03-11 08:00:00,141.1533504904192,0.0,0.0,0.0
2025-03-11 08:15:00,132.64190663195455,8.511443858464645,6.029926904953177,-0.060299269049531756
2025-03-11 08:30:00,183.01591983378088,0.0,0.0,0.37977449571499755
2025-03-11 08:45:00,183.01591983378088,0.0,0.0,0.0
2025-03-11 09:00:00,237.19953626987373,0.0,0.0,0.29605958041958114
2025-03-11 09:15:00,237.19953626987373,0.0,0.0,0.0
2025-03-11 09:30:00,237.19953626987373,0.0,0.0,0.0
2025-03-11 09:45:00,237.19953626987373,0.0,0.0,0.0
2025-03-11 10:00:00,222.82942757327424,14.370108696599488,6.058236420938824,-0.06058236420938823
2025-03-11 10:15:00,307.4798821189226,0.0,0.0,0.3798890275289706
2025-03-11 10:30:00,398.4237310688009,0.0,0.0,0.2957717048776036
2025-03-11 10:45:00,398.4237310688009,0.0,0.0,0.0
2025-03-11 11:00:00,374.2862794835275,24.137451585273425,6.058236420938817,-0.06058236420938823
2025-03-11 11:15:00,516.4735302139613,0.0,0.0,0.3798890275289708
2025-03-11 11:30:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 11:45:00,484.91550183646626,31.558028377495077,6.110289594981067,-0.061102895949810665
2025-03-11 12:00:00,484.91550183646626,31.558028377495077,6.110289594981067,0.0
2025-03-11 12:15:00,493.76354717595126,22.70998303801008,4.397124287976953,0.018246571425280855
2025-03-11 12:30:00,516.4735302139613,0.0,0.0,0.04599364041330789
2025-03-11 12:45:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 13:00:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 13:15:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 13:30:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 13:45:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 14:00:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 14:15:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 14:30:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 14:45:00,516.4735302139613,0.0,0.0,0.0
2025-03-11 15:00:00,516.4735302139613,0.0,0.0,0.0
