type,date,side,price,intended_price,slippage_pct,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reinvested,reason
entry,2025-02-16 18:00:00,SELL,189.2983660591248,189.54,0.1274844048091205,0.5282665776880839,10.0,0.004,49.996,194.27849999999998,174.3768,,,,
exit,2025-02-16 23:20:00,,188.7446345395586,188.56,0.09791819026230587,0.5282665776880839,,0.00398829928580803,60.06813238887836,,,0.28852955551344267,2.885295555134427,0.21639716663508202,signal_reversal
entry,2025-02-16 23:20:00,BUY,188.82178852889754,188.56,0.1388356644556369,0.6362415360734226,12.013626477775674,0.004805450591110269,60.063326938287254,183.846,203.6448,,,,
exit,2025-02-17 02:40:00,,187.52063045179648,187.85,0.175336464308494,0.6362415360734226,,0.0047723365585643045,71.24433026585524,,,-0.8326231502076863,-6.9306562156562626,0.0,signal_reversal
entry,2025-02-17 02:40:00,SELL,187.57743261053858,187.85,0.14509842398797587,0.7596258171821524,14.24886605317105,0.00569954642126842,71.23863071943397,192.54625,172.822,,,,
exit,2025-02-17 10:20:00,,184.92107977248634,184.72,0.10885652473275687,0.7596258171821524,,0.005618833053455238,85.99055061317405,,,2.0122153622761094,14.121933315727228,1.5091615217070822,signal_reversal
entry,2025-02-17 10:20:00,BUY,184.82868855755788,184.72,0.0588396262223351,0.9304892144640801,17.198110122634812,0.0068792440490539255,85.98367136912499,180.102,199.4976,,,,
exit,2025-02-17 15:45:00,,179.90329360510154,180.102,0.11032992132150427,0.9304892144640801,,0.006695922973844468,98.59205868854951,,,-4.589722803210293,-26.68736721931823,0.0,stop_loss
entry,2025-02-17 18:35:00,SELL,176.04809563536406,176.19,0.08054053274074974,1.1200582242338621,19.718411737709904,0.007887364695083962,98.58417132385443,180.59474999999998,162.0948,,,,
exit,2025-02-17 21:25:00,,180.8855087414629,180.59474999999998,0.16100066112825692,1.1200582242338621,,0.008104092068424067,112.87629463599323,,,-5.426288425571098,-27.518891976445296,0.0,stop_loss
entry,2025-02-18 02:20:00,BUY,178.03048660202106,177.78,0.14089695242493358,1.2680557896617222,22.575258927198647,0.00903010357087946,112.86726453242235,173.3355,192.00240000000002,,,,
exit,2025-02-18 04:15:00,,176.51583730727413,176.85,0.18895261109746506,1.2680557896617222,,0.008953277178579024,133.51291037493152,,,-1.9296130846894695,-8.547468230207866,0.0,signal_reversal
entry,2025-02-18 04:15:00,SELL,176.63093396805212,176.85,0.12387109524901346,1.5117726818913892,26.702582074986307,0.010681032829994523,133.50222934210151,181.27124999999998,162.702,,,,
exit,2025-02-18 09:15:00,,166.99483895970516,166.9,0.05682382247162406,1.5117726818913892,,0.010098329422245365,163.84418313316448,,,14.55748686430666,54.51715052659052,10.918115148229996,signal_reversal
entry,2025-02-18 09:15:00,BUY,167.0616939219294,166.9,0.09688072014940896,1.9614811664693343,32.7688366266329,0.013107534650653159,163.83107559851382,162.7275,180.252,,,,
exit,2025-02-18 14:45:00,,165.99666814170777,166.24,0.14637383198522844,1.9614811664693343,,0.013023973530264799,194.49786024190743,,,-2.102051983239276,-6.414789780882339,0.0,signal_reversal
entry,2025-02-18 14:45:00,SELL,166.0708771865578,166.24,0.1017341274315522,2.3423475992532494,38.899572048381486,0.015559828819352596,194.48230041308807,170.396,152.94080000000002,,,,
exit,2025-02-18 19:40:00,,164.4797870351639,164.16,0.1948020438376675,2.3423475992532494,,0.015410753371500076,234.30974132220493,,,3.71147544294149,9.541172942276404,2.7836065822061173,signal_reversal
entry,2025-02-18 19:40:00,BUY,164.3775863913374,164.16,0.13254531636049718,2.8508721470624168,46.86194826444099,0.018744779305776397,234.29099654289917,160.05599999999998,177.2928,,,,
exit,2025-02-19 11:25:00,,173.43689204955027,173.54,0.05941451564464824,2.8508721470624168,,0.019777856192685357,287.604730886473,,,25.807144316531364,55.07057489565349,19.355358237398523,signal_reversal
entry,2025-02-19 11:25:00,SELL,173.43851429220484,173.54,0.05847972098371212,3.31650362735377,57.520946177294604,0.023008378470917842,287.5817225080021,177.87849999999997,159.6568,,,,
exit,2025-02-19 22:45:00,,168.20399753488013,167.98,0.13334774073112252,3.31650362735377,,0.02231396671839338,349.437163646895,,,17.337979846393107,30.142028249940324,13.00348488479483,signal_reversal
entry,2025-02-19 22:45:00,BUY,168.17956146290962,167.98,0.11880072800906885,4.155524733294777,69.887432729379,0.0279549730917516,349.4092086738032,163.7805,181.4184,,,,
exit,2025-02-20 00:30:00,,167.89805807393984,168.03,0.07852283881458975,4.155524733294777,,0.027908181319936793,418.09893892649205,,,-1.197702476690164,-1.7137594413117976,0.0,signal_reversal
entry,2025-02-20 00:30:00,SELL,167.91660771518644,168.03,0.06748335702764746,4.979840226830393,83.61978778529841,0.03344791511411937,418.06549101137796,172.23074999999997,154.5876,,,,
exit,2025-02-20 00:40:00,,169.04589034583543,168.83,0.12787439781759471,4.979840226830393,,0.03367286099698204,496.02795886411275,,,-5.657319932563658,-6.765527732609597,0.0,signal_reversal
entry,2025-02-20 00:40:00,BUY,169.01848484979146,168.83,0.11164179931969788,5.869511365043157,99.20559177282256,0.03968223670912902,495.9882766274036,164.60925,182.33640000000003,,,,
exit,2025-02-20 01:10:00,,168.78204654934575,169.11,0.19392907022308822,5.869511365043157,,0.03962672561746512,593.7664643830111,,,-1.4274040172150628,-1.4388342347513734,0.0,backtest_end
