type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-13 08:15:00,BUY,2.2185,90.15100292990765,20.000000000000014,0.008000000000000005,49.992,2.1630375,2.329425,,,
exit,2025-03-13 09:00:00,,2.24,90.15100292990765,,0.008077529862519727,71.92216903313052,,,1.9301690331305015,9.650845165652502,signal_reversal
entry,2025-03-13 09:00:00,SELL,2.24,128.43244470201967,28.768867613252404,0.011507547045300963,71.91066148608522,2.296,2.128,,,
exit,2025-03-13 12:15:00,,2.296,128.43244470201967,,0.011795235721433485,93.47551696030314,,,-7.204012139034484,-25.040999999999826,stop_loss
entry,2025-03-13 12:30:00,SELL,2.3014,162.4672233602219,37.390206784121474,0.01495608271364859,93.46056087758949,2.358935,2.18633,,,
exit,2025-03-13 16:15:00,,2.2692,162.4672233602219,,0.014746824929960625,136.06746542898014,,,5.216697767269186,13.952043104197445,signal_reversal
entry,2025-03-13 16:15:00,BUY,2.2692,239.85098788820775,54.426986171592105,0.021770794468636844,136.0456946345115,2.21247,2.38266,,,
exit,2025-03-13 22:45:00,,2.2661,239.85098788820775,,0.021741052946138702,189.70740169070396,,,-0.7652791153996606,-1.406065573770635,signal_reversal
entry,2025-03-13 22:45:00,SELL,2.2661,334.861483060244,75.88296067628188,0.030353184270512753,189.67704850643344,2.3227524999999996,2.152795,,,
exit,2025-03-14 09:15:00,,2.3227524999999996,334.861483060244,,0.031112013877275572,246.55815699976765,,,-19.001852182947673,-25.0409999999999,stop_loss
entry,2025-03-14 10:15:00,SELL,2.322,424.7341205853038,98.62326279990755,0.03944930511996302,246.51870769464767,2.3800499999999998,2.2058999999999997,,,
exit,2025-03-14 12:30:00,,2.3002,424.7341205853038,,0.03907893696681263,354.36209538634813,,,9.22012489179292,9.348833763996666,signal_reversal
entry,2025-03-14 12:30:00,BUY,2.3002,616.2283199484369,141.74483815453945,0.05669793526181578,354.3053974510863,2.242695,2.41521,,,
exit,2025-03-14 14:30:00,,2.3381,616.2283199484369,,0.05763213739485762,519.3476567942766,,,23.29742118865093,16.436169028780125,signal_reversal
entry,2025-03-14 14:30:00,SELL,2.3381,888.4952000244308,207.73906271771216,0.08309562508708487,519.2645611691895,2.3965524999999994,2.221195,,,
exit,2025-03-14 20:15:00,,2.3389,888.4952000244308,,0.08312405693348567,726.2097036699483,,,-0.7939202169533466,-0.3821718489373235,signal_reversal
entry,2025-03-14 20:15:00,BUY,2.3389,1241.967939920384,290.4838814679787,0.11619355258719148,726.0935101173611,2.2804275,2.4558450000000005,,,
exit,2025-03-14 22:30:00,,2.359,1241.967939920384,,0.11719209481088742,1041.4237550829284,,,24.846363497588563,8.553439651117953,signal_reversal
entry,2025-03-14 22:30:00,SELL,2.359,1765.873259996494,416.5695020331729,0.16662780081326917,1041.257127282115,2.4179749999999998,2.24105,,,
exit,2025-03-15 03:15:00,,2.4179749999999998,1765.873259996494,,0.1707934958336009,1353.5134603111615,,,-104.31316900412645,-25.040999999999908,stop_loss
entry,2025-03-15 07:15:00,BUY,2.3796,2275.1949240395957,541.4053841244621,0.21656215364978484,1353.2968981575116,2.3201099999999997,2.49858,,,
exit,2025-03-15 11:30:00,,2.4167,2275.1949240395957,,0.21993854291705967,1978.892075420926,,,84.18979313895224,15.550231971760017,signal_reversal
entry,2025-03-15 11:30:00,SELL,2.4167,3275.362395698155,791.5568301683732,0.31662273206734926,1978.5754526888586,2.4771175,2.295865,,,
exit,2025-03-15 16:15:00,,2.4131,3275.362395698155,,0.31615107988236874,2781.6074364018627,,,11.475153544631146,1.4496942111143492,signal_reversal
entry,2025-03-15 16:15:00,BUY,2.4131,4610.844865777396,1112.6429745607434,0.4450571898242974,2781.1623792120386,2.3527725,2.533755,,,
exit,2025-03-16 06:30:00,,2.3917,4610.844865777396,,0.441110306619192,3794.6921633385273,,,-99.11319043425485,-8.907906013012253,signal_reversal
entry,2025-03-16 06:30:00,SELL,2.3917,6346.435026698219,1517.8768653354132,0.6071507461341653,3794.085012592393,2.4514925,2.272115,,,
exit,2025-03-16 07:00:00,,2.3697,6346.435026698219,,0.6015658833106708,5450.981882631858,,,139.02000470405167,9.158846009114956,signal_reversal
entry,2025-03-16 07:00:00,BUY,2.3697,9201.134122685353,2180.392753052748,0.8721571012210992,5450.109725530637,2.3104575,2.488185,,,
exit,2025-03-16 11:15:00,,2.3104575,9201.134122685353,,0.8503531736905718,7084.553937146508,,,-545.9485414368763,-25.038999999999945,stop_loss
entry,2025-03-16 16:00:00,SELL,2.3215,12206.855803827764,2833.8215748586153,1.1335286299434462,7083.420408516565,2.3795374999999996,2.205425,,,
exit,2025-03-16 19:45:00,,2.2939,12206.855803827764,,1.1200522611360202,10253.031151299692,,,335.7891679245111,11.849340512599642,signal_reversal
entry,2025-03-16 19:45:00,BUY,2.2939,17878.776147695495,4101.212460519869,1.6404849842079476,10251.390666315485,2.2365524999999997,2.408595,,,
exit,2025-03-17 00:30:00,,2.322,17878.776147695495,,1.6605807285979577,14853.336155857003,,,500.73302902164966,12.209390121627028,signal_reversal
entry,2025-03-17 00:30:00,SELL,2.322,25587.14238735069,5941.33446234283,2.3765337849371324,14850.959622072067,2.3800499999999998,2.2058999999999997,,,
exit,2025-03-17 05:45:00,,2.3281,25587.14238735069,,2.382777047679646,20633.82973880438,,,-158.4643456105187,-2.6671507321274737,signal_reversal
entry,2025-03-17 05:45:00,BUY,2.3281,35451.79285907705,8253.531895521728,3.3014127582086914,20630.52832604617,2.2698975,2.4445050000000004,,,
exit,2025-03-17 09:15:00,,2.3505,35451.79285907705,,3.3331775646104247,29674.847204046604,,,790.7869824787068,9.581194965851877,signal_reversal
entry,2025-03-17 09:15:00,SELL,2.3505,50499.63361675675,11869.938881618673,4.747975552647469,29670.099228493957,2.4092624999999996,2.2329749999999997,,,
exit,2025-03-17 13:15:00,,2.3236,50499.63361675675,,4.69363794687584,42893.784616456505,,,1353.7465063438767,11.404831312486673,signal_reversal
entry,2025-03-17 13:15:00,BUY,2.3236,73840.22140894564,17157.51384658261,6.863005538633044,42886.921610917874,2.26551,2.43978,,,
exit,2025-03-17 15:45:00,,2.3436,73840.22140894564,,6.922077715760199,61514.31780796364,,,1469.882350463154,8.566989154759863,signal_reversal
entry,2025-03-17 15:45:00,SELL,2.3436,104991.15515952204,24605.727123185585,9.842290849274235,61504.47551711437,2.4021899999999996,2.2264199999999996,,,
exit,2025-03-17 21:30:00,,2.338,104991.15515952204,,9.818772830518501,86688.33433636275,,,578.1316960627868,2.349581839904347,signal_reversal
entry,2025-03-17 21:30:00,BUY,2.338,148311.94924955105,34675.333734545035,13.870133493818015,86674.46420286893,2.27955,2.4549000000000003,,,
exit,2025-03-18 01:45:00,,2.27955,148311.94924955105,,13.523380156472564,112667.44112362122,,,-8682.356813792747,-25.039000000000044,stop_loss
entry,2025-03-18 11:30:00,BUY,2.2644,199023.92002052837,45066.97644944845,18.02679057977938,112649.41433304144,2.20779,2.3776200000000003,,,
exit,2025-03-18 19:00:00,,2.2543,199023.92002052837,,17.946384916091088,155688.30280536646,,,-2028.0879771234272,-4.500164281928987,signal_reversal
entry,2025-03-18 19:00:00,SELL,2.2543,276251.25813843217,62275.32112214677,24.91012844885871,155663.3926769176,2.3106575,2.141585,,,
exit,2025-03-19 08:45:00,,2.3106575,276251.25813843217,,25.532881660080175,202344.35063686763,,,-15594.363162196725,-25.040999999999926,stop_loss
entry,2025-03-19 09:00:00,SELL,2.3055,351063.7183029597,80937.74025474736,32.37509610189895,202311.97554076574,2.3631374999999997,2.190225,,,
exit,2025-03-19 13:00:00,,2.3631374999999997,351063.7183029597,,33.184473504446416,262982.0962583219,,,-20267.61953719121,-25.040999999999908,stop_loss
entry,2025-03-19 18:15:00,BUY,2.4768,424712.68775568646,105192.83850332841,42.07713540133137,262940.0191229206,2.4148799999999997,2.60064,,,
exit,2025-03-19 22:00:00,,2.5238,424712.68775568646,,42.87559525431207,388051.478355512,,,19918.620729263017,18.935339147286886,signal_reversal
entry,2025-03-19 22:00:00,SELL,2.5238,615027.3054212125,155220.5913422056,62.08823653688224,387989.39011897513,2.5868949999999997,2.39761,,,
